,unit_id,left_right_ccf_coordinate,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,firing_rate,percentile_rank,color,size_scale
0,1157005856,6719.0,8453.0,3353.0,0.93167415182163,0.26203947801500255,#cbbadc,0.046549945110062566
100,1157006690,6908.0,8282.0,2698.0,0.011345528252007,0.029357737772441876,#f7f4fa,0.03657729910245953
200,1157006586,7494.0,7809.0,760.0,1.83941955314812,0.36735807004730214,#b79fce,0.05191735804064399
300,1157006867,7481.0,7820.0,807.0,0.0550773826051977,0.08157661286530643,#ede7f3,0.03861097201236903
400,1157005865,6730.0,8443.0,3314.0,1.11320260385374,0.2838222893737873,#c7b4d9,0.047612510203139884
500,1157006506,7455.0,7844.0,911.0,1.27864103400119,0.30271807105039605,#c3b0d7,0.04855395123156013
600,1157017190,7187.0,7515.0,976.0,4.99167840243834,0.636309492089664,#845cac,0.06860257212086225
700,1157017225,7215.0,7843.0,2435.0,0.0412605353090364,0.06668380285442913,#f0ebf5,0.0380197287259287
800,1156993171,7535.0,8281.0,2245.0,0.140506915304939,0.12446514718835909,#e5dcee,0.04036545686215566
900,1156993157,7333.0,8181.0,601.0,0.005184366603872,0.014698460564303023,#faf8fc,0.03602588323329519
1000,1157007734,7250.0,8087.0,608.0,3.18654395494528,0.5037631695260067,#9d7dbd,0.05979908109719248
1100,1157007316,7039.0,8238.0,2848.0,2.21980252462639,0.4082498205402288,#af95c9,0.0541643760443806
1200,1157007398,7106.0,8205.0,2558.0,2.59956801555076,0.4477403742167247,#a88bc4,0.05642669475107014
1300,1157007583,7139.0,8142.0,1572.0,3.15147598457203,0.5005344609780793,#9e7ebd,0.05959928705585955
1400,1157007665,7246.0,8097.0,727.0,5.70762160151357,0.6756433123415033,#7d52a7,0.07145623749066843
1500,1088118039,7522.0,8419.0,1835.0,9.16703161767525,0.8043590700065515,#643297,0.0816511361183354
1600,1088118127,7470.0,8384.0,1548.0,24.7231145104262,0.9640704297317038,#460a82,0.09634575282211455
1700,1088118154,7356.0,8331.0,1051.0,0.0493993415102663,0.07595301758862491,#eee8f4,0.038386609794136606
1800,1088118445,7410.0,8680.0,629.0,3.43281147703025,0.525486422183422,#9978ba,0.061160271204567025
1900,1088118342,7670.0,8582.0,2062.0,19.3447299441574,0.9412124270797741,#4b0f85,0.09409069224459139
2000,1179693868,6953.0,8473.0,3525.0,0.204884989794396,0.14335779419647476,#e1d8eb,0.04116349979741111
2100,1179693664,7091.0,8376.0,2540.0,26.131219716332,0.9680828054029146,#460982,0.09674725235339296
2200,1179693708,7116.0,8341.0,2075.0,4.12918910569665,0.5800265192954519,#8f6ab3,0.06471604442840777
