session,ml,ap,dv,phi,theta,color
1,4990.354988283993,4463.941495542747,4907.275550441847,-97.0402029,-8.599868670000006,#EE204D
1,3170.782412695007,8732.329581360369,4900.7248782988845,52.485452099999975,-15.903551179999994,#EE204D
2,2562.465090735304,7686.413000389328,4851.170968745682,54.05318089999997,-17.513591480000002,#EE204D
2,3707.6839902863285,9400.993674566102,4086.404032229928,-111.0002548,-8.227467169999997,#EE204D
3,3312.941207914647,8478.681978850926,4061.106428958249,-117.5484308,-14.063265299999998,#EE204D
3,3881.5723550917137,8585.83281981103,4414.571842026044,54.66379139999998,-20.274173759999996,#EE204D
4,3350.1617276812294,7514.584020506773,3740.896534380867,-250.0,-30.0,#FF7538
4,5505.154522301751,6194.84547769825,3957.0194138097613,45.0,-23.0,#FF7538
4,5932.050807568878,4632.050807568878,5038.703305156274,-45.0,-15.0,#FF7538
5,2763.515398032191,7000.0,4271.709007300815,-180.0,-20.0,#FF7538
5,3700.0,8049.123929432041,5250.557989759819,-270.0,-10.0,#FF7538
5,6395.34495492048,2404.6550450795207,4925.2311481466,45.0,-25.0,#FF7538
6,978.703541595575,8144.515558073942,4595.831958986451,-160.0,-20.0,#FF7538
6,5200.0,6702.377156446388,5415.999461960969,-270.0,-15.0,#FF7538
7,5346.908773958612,6300.0,5699.340152243905,0.0,-20.0,#FF7538
7,3489.8992833716557,6400.0,5073.463103929542,-180.0,-20.0,#FF7538
7,2368.319996421241,4864.473453846344,5824.340152243905,-250.0,-20.0,#FF7538
8,5817.8109770517685,4209.025204741847,5038.0620876786925,-60.45148520000001,-29.324673830000002,#9ACD32
8,4547.832700077188,6941.070158524039,4107.65920050782,12.257515099999978,-19.471906250000004,#9ACD32
8,4175.185730691987,7328.203058338011,3919.246009181603,60.04851789999998,-31.880139739999997,#9ACD32
9,6177.088435150616,3854.899088236778,5576.877081520929,-58.28444350000001,-27.380834800000002,#9ACD32
9,3253.4684087489813,7783.214185479926,4913.279766226557,29.800407199999995,-26.564600419999998,#9ACD32
9,3941.0280607063805,6374.949655109357,4150.710466220298,82.1159007,-18.162252629999998,#9ACD32
10,5076.587349283489,9897.99029512338,3797.4565816177083,-25.933526,-32.70793632,#9ACD32
10,4338.953054857373,8526.429682412094,4307.638542564906,0.08937009999999646,-35.93816177,#9ACD32
10,3171.512715719167,6379.483449236076,4546.021476045822,64.1551288,-19.48044417,#9ACD32
11,5326.4068796914235,5739.212479285567,4549.94189245592,-48.47720939999999,-23.713291780000006,#9ACD32
11,4961.49369339071,4608.862252758297,4436.735728549309,24.460438399999987,-22.46082328,#9ACD32
11,3687.7557396544057,4969.452654963513,4290.858339732889,-232.09817448,-17.563735339999994,#9ACD32
12,3315.9597133486623,7520.6147584281825,3939.1016151377544,-250.0,-30.0,#32CD32
12,5932.050807568878,3632.0508075688776,5488.703305156274,-45.0,-15.0,#32CD32
12,5105.154522301751,6294.84547769825,4007.0194138097613,45.0,-23.0,#32CD32
13,2631.9194266973245,7400.0,4083.770483143633,-180.0,-20.0,#32CD32
13,4000.0,8531.759111665348,5399.03876506104,-270.0,-10.0,#32CD32
13,5632.050807568878,3632.0508075688776,5413.703305156274,-45.0,-15.0,#32CD32
14,4324.185708023243,1867.4587188855326,3906.40024629529,-250.0,-25.0,#32CD32
14,4854.102848838318,9400.0,3662.5552267539256,0.0,-15.0,#32CD32
14,5374.126646189225,8274.126646189225,3284.7067200703987,-45.0,-22.0,#32CD32
15,2776.495251936136,5700.0,5912.5920445898755,-180.0,-15.0,#32CD32
15,3964.6938033688084,8060.310899887159,5747.814296703155,-20.0,-15.0,#32CD32
16,1392.9336293448066,7142.648887430876,3192.3237657289983,-200.0,-20.0,#32CD32
16,4530.478267959534,8266.239604008424,5546.356043747294,-20.0,-22.0,#32CD32
17,2319.1327457889893,6875.38862485895,6778.517870878944,-160.0,-15.0,#32CD32
18,4932.799505010529,3911.902165050583,6501.695054684118,70.0,-22.0,#32CD32
18,4236.082783418738,8204.676504239678,6074.511200117331,-20.0,-22.0,#32CD32
19,4449.564192708365,7884.8952943557815,4160.819424439247,60.93983850000001,-8.076703280000004,#006400
20,3601.5481725632094,7932.624145923013,4177.599612197244,-85.87116520000001,-13.000444650000006,#006400
20,3685.8945215323993,8257.076490264728,4144.738334172383,-236.75624102,-7.188504699999996,#006400
21,4358.3805319426265,6631.85106439975,4298.140155000374,-91.01368740000001,-18.75911368,#006400
21,4964.273191805105,5571.963383552673,4380.058458028167,20.312356899999997,-15.569424100000006,#006400
22,4911.215338495103,3759.722387107689,4840.247122172756,89.74236380000002,-4.133163240000002,#1FCECB
22,4559.631697802301,9065.129053751116,4656.174993090005,43.9758655,-20.10841843,#1FCECB
23,4275.885564631144,6974.256190914941,3917.4145516650947,68.90340270000002,-19.025734549999996,#1FCECB
24,2217.477721571193,8278.520884871494,4649.226833643051,-196.49784832,-1.171334150000007,#1FCECB
24,4477.713678263465,8374.153109944016,4113.4565560926,62.79040650000002,-18.027216589999995,#1FCECB
25,5113.174405576982,3793.561678121741,5136.609313588953,-43.53472199999999,-8.098074170000004,#002AFF
25,4200.0,8805.549032847122,4228.215694261524,-270.0,-9.0,#002AFF
26,5220.340309956701,4320.340309956701,4878.215694261524,-45.0,-9.0,#002AFF
26,3900.0,8805.549032847122,4253.215694261524,-270.0,-9.0,#002AFF
27,4286.746238984257,6921.599067540856,4235.4364098735905,35.302768000000015,-10.439991050000003,#002AFF
27,4955.265553597286,4302.960730613545,5053.057149125698,-75.0860773,-8.898701560000006,#002AFF
28,4487.067667665732,8772.43006321716,4155.253617439937,-269.709110858,-8.860000709999994,#002AFF
28,4066.9298954723054,8103.227352724608,3930.2535031602692,-92.3046818,-8.919796489999996,#002AFF
29,3800.717381744451,5475.184099350947,4641.632331565255,-78.31295309999999,-3.828291660000005,#002AFF
29,4051.8386266292,5250.182507765136,4517.585806381099,34.261787200000015,-15.16988714,#002AFF
30,3715.9597133486623,7320.6147584281825,3839.1016151377544,-250.0,-30.0,#926EAE
30,5049.896796186664,6350.103203813337,3822.9184431192734,45.0,-23.0,#926EAE
30,5895.448267190433,3895.4482671904334,5145.51813989846,-45.0,-15.0,#926EAE
31,4000.0,8331.759111665348,5349.03876506104,-270.0,-10.0,#926EAE
31,5568.363411906918,2431.636588093081,4629.423259036625,45.0,-10.0,#926EAE
32,4742.4682452694515,2442.4682452694515,4039.814565722671,-225.0,-15.0,#926EAE
32,5587.039989430587,9400.0,4531.888470414087,0.0,-15.0,#926EAE
33,2476.495251936136,5400.0,6087.5920445898755,-180.0,-15.0,#926EAE
33,3664.6938033688084,8060.310899887159,5922.814296703155,-20.0,-15.0,#926EAE
34,1619.1327457889893,6875.38862485895,7003.517870878944,-160.0,-15.0,#926EAE
34,4209.98114442021,7949.588190872171,5695.4938847347985,-20.0,-18.0,#926EAE
35,3315.9597133486623,7520.6147584281825,3939.1016151377544,-250.0,-30.0,#8F509D
35,5105.154522301751,6294.84547769825,4007.0194138097613,45.0,-23.0,#8F509D
35,5932.050807568878,3632.0508075688776,5488.703305156274,-45.0,-15.0,#8F509D
36,2631.9194266973245,7400.0,4083.770483143633,-180.0,-20.0,#8F509D
36,4000.0,8479.66465836527,5694.481090964702,-270.0,-10.0,#8F509D
36,5632.050807568878,3632.0508075688776,5413.703305156274,-45.0,-15.0,#8F509D
37,4353.094499713762,1946.8849712789531,3725.1386888879597,-250.0,-25.0,#8F509D
37,5035.276180410083,9400.0,4338.703305156274,0.0,-15.0,#8F509D
37,5059.547449926333,8459.547449926333,4033.7354182671497,-45.0,-22.0,#8F509D
38,2698.8495384053795,5700.0,6202.369792476597,-180.0,-15.0,#8F509D
38,4671.2842885718055,8317.488804316763,5917.229585574009,-20.0,-22.0,#8F509D
39,3050.0,7754.551732809567,3765.896534380867,-240.0,-30.0,#8F509D
39,5149.896796186664,6850.103203813337,3772.9184431192734,45.0,-23.0,#8F509D
39,6005.646169607287,3464.1195210888013,5295.51813989846,-35.0,-15.0,#D6006E
