Areas,Color
VISp,#8F97A4
VISl,#919EAF
VISpm,#9EADCC
VISam,#AAB9E4
VISrl,#B0C5E0
VISa,#BACEE9
RSP,#7F7F7F
ACA,#A1998C
MOs,#B0A593
PL,#C0B097
ILA,#9C7D4F
ORB,#C0B097
MOp,#F0D4AD
SSp,#FDE1B2
DG,#A993A0
CA3,#C497B4
CA1,#D5A2C3
POST,#F0B8D5
SUB,#E7A9D0
OLF,#C9CACC
BLA,#E2E2E4
CP,#9890A8
GPe,#A397BF
SNr,#B3A4CD
ACB,#BBAAD7
LS,#9F94BC
LGd,#1C2F19
LP,#93A28F
LD,#98AE97
POL,#AAC1A5
MD,#509248
VPL,#ADD29F
PO,#AFDCA3
VPM,#B9E2A8
RT,#CAE6AC
MG,#C5DBAC
SCs,#AA9292
SCm,#C09A99
MRN,#D8A0A3
APN,#EEA9AC
PAG,#F19797
ZI,#B1B1B3
