,pid,lab,ml_e_p,ap_e_p,dv_e_p,ml_t_p,ap_t_p,dv_t_p,phi_p,theta_p,depth_p,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m,phi_m,theta_m,depth_m,ml_e_e,ap_e_e,dv_e_e,ml_t_e,ap_t_e,dv_t_e,phi_e,theta_e,depth_e
0,8dfb86c8-d45c-46c4-90ec-33078014d434,angelakilab,4935.000,6089.972,332.000,3827.125,6089.972,6931.867,0.000,10.000,6692.207,4935.000,6089.972,332.000,3827.125,6089.972,6931.867,0.000,10.000,6692.207,4675.000,5925.000,525.000,4401.221,7186.911,6718.068,77.759,11.778,6326.253
1,362823e7-5514-41d3-a31d-4b73f91ad3d0,zadorlab,6739.000,7929.899,235.361,4927.465,7929.899,6459.378,0.000,17.000,6482.287,6740.500,7932.659,1846.916,5142.689,7932.659,7336.628,0.000,17.000,5717.511,6525.000,8775.000,250.000,5029.274,9412.200,6784.342,23.075,13.972,6733.562
2,57656bee-e32e-4848-b924-0f6f18cfdfb1,zadorlab,3496.000,7239.926,509.521,4531.276,7239.926,4568.033,180.000,15.000,4188.474,3356.700,7013.523,1124.227,4366.198,7013.523,5081.682,180.000,15.000,4084.181,3625.000,7650.000,375.000,4639.760,8379.857,3977.570,144.275,19.135,3813.259
3,e42e948c-3154-45cb-bf52-408b7cda0f2f,churchlandlab_ucla,3496.000,7239.926,509.521,4531.276,7239.926,4568.033,180.000,15.000,4188.474,3466.000,7265.133,482.210,4793.379,7265.133,5685.831,180.000,15.000,5370.252,3525.000,8050.000,425.000,4164.419,8637.391,4669.310,137.428,11.562,4332.211
4,99086aba-f671-42b5-bdc0-e665c61f5452,zadorlab,4445.000,7699.908,260.571,5480.276,7699.908,4319.083,180.000,15.000,4188.474,4441.900,7614.167,946.391,5476.762,7614.167,5003.279,180.000,15.000,4186.799,4300.000,7775.000,225.000,5240.990,8674.385,3874.885,136.295,19.628,3875.050
5,55423355-281c-41f2-8ef7-5aa098ffbbed,hoferlab,2309.000,7009.936,1060.992,1377.378,7009.936,6610.880,0.000,10.000,5627.538,2359.000,7015.455,1298.387,1512.291,7015.455,6342.423,0.000,10.000,5114.608,2125.000,7000.000,1125.000,1700.205,7308.877,5009.467,36.022,7.700,3919.813
6,0b877123-0902-4432-b789-c4c6cc681df4,mainenlab,4939.000,7699.908,235.361,5974.276,7699.908,4293.873,180.000,15.000,4188.474,4743.000,7445.998,715.403,5777.241,7445.998,4769.857,180.000,15.000,4184.286,4900.000,7325.000,175.000,5914.541,7618.720,3997.947,163.854,15.444,3966.168
7,af1e9dee-8c26-4b2b-ac43-358221048797,mainenlab,6732.000,5629.991,610.361,4825.152,5629.991,7161.853,0.000,17.000,6823.350,6700.000,5626.311,509.521,4787.012,5626.311,7082.107,0.000,17.000,6845.320,6375.000,5175.000,750.000,4585.210,5997.049,6278.227,24.669,19.610,5868.595
8,f475ae14-9415-453e-b800-1480ea1c868d,angelakilab,3971.000,4940.018,1010.571,5006.276,4940.018,5069.083,180.000,15.000,4188.474,3971.000,4939.926,634.521,5216.075,4939.926,5515.490,180.000,15.000,5037.268,3825.000,5075.000,950.000,4398.839,5465.275,4668.110,145.780,10.572,3782.320
9,8895f61f-1c17-4d2f-8b9b-77476c5261b6,angelakilab,4426.000,6089.972,510.571,3250.923,6089.972,7510.775,0.000,10.000,7098.145,4426.200,6089.880,510.571,3251.071,6089.880,7511.086,0.000,10.000,7098.460,3700.000,6050.000,600.000,3285.918,7279.485,6521.931,71.387,12.357,6062.373
10,79fbd14b-bfad-4b28-90a9-3019bf72336f,angelakilab,2598.000,5400.000,1359.311,3633.276,5400.000,5417.823,180.000,15.000,4188.474,2598.000,5400.368,1630.845,3633.224,5400.368,5689.153,180.000,15.000,4188.265,2150.000,5575.000,1525.000,2860.999,6169.932,5333.073,140.079,13.682,3919.296
11,a4ed0599-4a72-4afb-8fe9-d0d046aec6aa,angelakilab,2343.000,9769.825,1460.151,1671.502,9769.825,5460.416,0.000,10.000,4056.233,2387.500,10019.595,2895.655,1803.695,10019.595,6373.516,0.000,10.000,3526.520,2325.000,10975.000,2050.000,2013.178,11113.377,5618.739,23.930,5.460,3585.007
12,3bd1f88b-4e0c-43a6-9483-3305e82f2fae,zadorlab,3471.000,9539.834,710.151,4506.276,9539.834,4768.663,180.000,15.000,4188.474,3020.500,9491.904,1376.013,4013.640,9491.904,5269.343,180.000,15.000,4018.003,2912.452,9894.332,1100.000,4049.362,10301.218,4852.421,160.308,17.838,3941.926
13,c9664185-d3fd-4e0e-89cf-77c402038938,zadorlab,2893.000,9309.844,860.361,2003.227,9309.844,6160.944,0.000,10.000,5374.744,2893.600,9212.144,1283.261,2173.290,9212.144,5574.312,0.000,10.000,4351.088,2948.760,9608.074,925.000,2455.448,9927.134,4883.800,32.894,8.441,4002.156
14,88e1154c-bd92-446d-bd6d-550062666223,wittenlab,1717.000,6549.954,1659.731,1087.525,6549.954,5409.656,0.000,10.000,3802.390,1781.200,6538.178,1659.731,1121.337,6538.178,5590.686,0.000,10.000,3985.954,1800.000,6275.000,1575.000,1649.559,6681.528,5026.049,69.692,7.159,3478.166
15,a9c9df46-85f3-46ad-848d-c6b8da4ae67c,zadorlab,2309.000,7929.899,1010.571,1377.378,7929.899,6560.460,0.000,10.000,5627.538,2312.000,7931.647,1696.601,1561.909,7931.647,6165.063,0.000,10.000,4530.981,2800.000,9075.000,800.000,2513.166,9733.417,4820.054,66.460,10.129,4083.702
16,2781c08e-a356-4a0d-8c28-4f94d1c87f69,zadorlab,4025.000,10459.798,1522.126,5060.276,10459.798,5580.638,180.000,15.000,4188.474,3851.500,10390.616,844.920,4861.257,10390.616,4803.390,180.000,15.000,4085.228,3900.000,11075.000,1250.000,4851.775,11478.643,5679.117,157.018,13.139,4548.174
17,01937b3b-8719-43c3-b5bd-14e6b0cf2802,wittenlab,7510.000,11609.752,-6065.059,7508.264,11609.752,-6054.714,0.000,10.000,10.489,7421.000,11337.902,-999.933,6461.594,11337.902,4715.469,0.000,10.000,5795.367,7550.000,11200.000,1200.000,6377.215,11513.930,6461.246,14.986,12.994,5399.508
